team_id,name,country_name,manager_name,created_at,updated_at
167,Man City,Angleterre,Pep Guardiola,2025-12-05 23:16:13.561213+00,2025-12-05 23:16:13.561213+00
170,Fulham,Angleterre,Marco Alexandre Saraiva da Silva,2025-12-05 23:16:13.561213+00,2025-12-05 23:16:13.561213+00
