match_id,team_id,team_name,total_events,possession_percentage,total_passes,successful_passes,pass_accuracy,total_shots,shots_on_target,goals,corners,free_kicks,fouls,cards,tackles,interceptions,clearances
1903251,167,Man City,766,45.7,494,412,83.4,11,0,4,3,13,16,1,16,16,27
1903251,170,Fulham,909,54.3,654,562,85.9,13,0,5,12,8,16,0,18,11,18
